#   AoA          Cl       Cd
  -90.0000         0    2.0000   
  -80.0000   -0.3500    1.9500
  -70.0000   -0.7300    1.9000
  -60.0000   -1.0600    1.7000
  -50.0000   -1.2700    1.4000
  -40.0000   -1.3100    1.0500
  -30.0000   -1.1800    0.6500
  -25.0000   -1.0200    0.4200
  -20.0000   -1.3449    0.0816
  -19.5000   -1.3604    0.0734
  -19.0000   -1.3665    0.0666
  -18.5000   -1.3787    0.0593
  -18.0000   -1.3868    0.0526
  -17.5000   -1.3830    0.0474
  -17.0000   -1.3805    0.0423
  -16.5000   -1.3740    0.0377
  -16.0000   -1.3575    0.0343
  -15.5000   -1.3474    0.0306
  -15.0000   -1.3270    0.0279
  -14.5000   -1.3082    0.0253
  -14.0000   -1.2837    0.0232
  -13.5000   -1.2609    0.0213
  -13.0000   -1.2336    0.0198
  -12.5000   -1.2157    0.0184
  -12.0000   -1.2045    0.0175
  -11.5000   -1.1896    0.0166
  -11.0000   -1.1314    0.0155
  -10.5000   -1.0690    0.0145
  -10.0000   -1.0101    0.0137
   -9.0000   -0.9040    0.0122
   -8.5000   -0.8636    0.0116
   -8.0000   -0.8243    0.0110
   -7.5000   -0.7794    0.0106
   -7.0000   -0.7324    0.0102
   -6.5000   -0.6837    0.0098
   -6.0000   -0.6338    0.0095
   -5.5000   -0.5830    0.0092
   -5.0000   -0.5315    0.0090
   -4.5000   -0.4797    0.0087
   -4.0000   -0.4277    0.0085
   -3.5000   -0.3752    0.0084
   -3.0000   -0.3224    0.0083
   -2.5000   -0.2692    0.0081
   -2.0000   -0.2157    0.0080
   -1.5000   -0.1620    0.0080
   -1.0000   -0.1081    0.0079
   -0.5000   -0.0541    0.0079
         0         0    0.0079
    0.5000    0.0541    0.0079
    1.0000    0.1081    0.0079
    1.5000    0.1620    0.0080
    2.0000    0.2157    0.0080
    2.5000    0.2692    0.0081
    3.0000    0.3224    0.0083
    3.5000    0.3752    0.0084
    4.0000    0.4277    0.0085
    4.5000    0.4797    0.0087
    5.0000    0.5315    0.0090
    5.5000    0.5830    0.0092
    6.0000    0.6338    0.0095
    6.5000    0.6837    0.0098
    7.0000    0.7324    0.0102
    7.5000    0.7794    0.0106
    8.0000    0.8243    0.0110
    8.5000    0.8636    0.0116
    9.0000    0.9040    0.0122
   10.0000    1.0101    0.0137
   10.5000    1.0690    0.0145
   11.0000    1.1314    0.0155
   11.5000    1.1896    0.0166
   12.0000    1.2045    0.0175
   12.5000    1.2157    0.0184
   13.0000    1.2336    0.0198
   13.5000    1.2609    0.0213
   14.0000    1.2837    0.0232
   14.5000    1.3082    0.0253
   15.0000    1.3270    0.0279
   15.5000    1.3474    0.0306
   16.0000    1.3575    0.0343
   16.5000    1.3740    0.0377
   17.0000    1.3805    0.0423
   17.5000    1.3830    0.0474
   18.0000    1.3868    0.0526
   18.5000    1.3787    0.0593
   19.0000    1.3665    0.0666
   19.5000    1.3604    0.0734
   20.0000    1.3449    0.0816
   25.0000    1.0200    0.4200
   30.0000    1.1800    0.6500
   40.0000    1.3100    1.0500
   50.0000    1.2700    1.4000
   60.0000    1.0600    1.7000
   70.0000    0.7300    1.9000
   80.0000    0.3500    1.9500
   90.0000         0    2.0000
